v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
9.7,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
18.1,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
4.1,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
9.3,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
12.3,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
1.7,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
2.0,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
8.4,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.6,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
13.2,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.8,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.4,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
10.8,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.7,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
5.4,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.9,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.1,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.1,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.2,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
